TITLE,cer
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,21/04/06
TIME,15:17:11
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.2
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   88.4787
LASTX, 1963.2787
NPOINTS,    9375
FIRSTY,    26.01411
MAXY,   546.00513
MINY,   -37.95501
XYDATA
119.2787,113.534
119.4787,98.1421
119.6787,83.6951
119.8787,70.1874
120.0787,57.6235
120.2787,46.1065
120.4787,35.7926
120.6787,26.8387
120.8787,19.4017
121.0787,13.6383
121.2787,9.70543
121.4787,7.75992
121.6787,7.9586
121.8787,10.4583
122.0787,15.4133
122.2787,22.7234
122.4787,31.8221
122.6787,42.0935
122.8787,52.9212
123.0787,63.6891
123.2787,73.7811
123.4787,82.5809
123.6787,89.4725
123.8787,93.8396
124.0787,95.0661
124.2787,92.6488
124.4787,86.8844
124.6787,78.4144
124.8787,67.8816
125.0787,55.929
125.2787,43.1993
125.4787,30.3354
125.6787,17.9803
125.8787,6.77668
126.0787,-2.63247
126.2787,-9.61206
126.4787,-13.9159
126.6787,-15.861
126.8787,-15.8083
127.0787,-14.1188
127.2787,-11.1536
127.4787,-7.27356
127.6787,-2.83978
127.8787,1.78676
128.0787,6.24506
128.2787,10.1741
128.4787,13.2723
128.6787,15.5526
128.8787,17.1315
129.0787,18.1256
129.2787,18.6515
129.4787,18.8258
129.6787,18.765
129.8787,18.5858
130.0787,18.4048
130.2787,18.3385
130.4787,18.5007
130.6787,18.9238
130.8787,19.5495
131.0787,20.3149
131.2787,21.157
131.4787,22.0127
131.6787,22.8191
131.8787,23.5133
132.0787,24.0322
132.2787,24.3128
132.4787,24.2922
132.6787,23.9346
132.8787,23.3089
133.0787,22.5091
133.2787,21.6293
133.4787,20.7638
133.6787,20.0065
133.8787,19.4516
134.0787,19.1931
134.2787,19.3253
134.4787,19.9421
134.6787,21.1305
134.8787,22.8558
135.0787,24.9819
135.2787,27.3695
135.4787,29.8794
135.6787,32.3725
135.8787,34.7095
136.0787,36.7513
136.2787,38.3585
136.4787,39.3921
136.6787,39.7128
136.8787,39.2504
137.0787,38.1219
137.2787,36.4757
137.4787,34.4605
137.6787,32.2249
137.8787,29.9174
138.0787,27.6867
138.2787,25.6812
138.4787,24.0495
138.6787,22.9403
138.8787,22.489
139.0787,22.6914
139.2787,23.4598
139.4787,24.7051
139.6787,26.3383
139.8787,28.2704
140.0787,30.4124
140.2787,32.6751
140.4787,34.9697
140.6787,37.2071
140.8787,39.2985
141.0787,41.1746
141.2787,42.8036
141.4787,44.1575
141.6787,45.2086
141.8787,45.9292
142.0787,46.2913
142.2787,46.2673
142.4787,45.8292
142.6787,44.9493
142.8787,43.5999
143.0787,41.7665
143.2787,39.5269
143.4787,36.9965
143.6787,34.2909
143.8787,31.5258
144.0787,28.8168
144.2787,26.2797
144.4787,24.03
144.6787,22.1834
144.8787,20.8556
145.0787,20.16
145.2787,20.1259
145.4787,20.6731
145.6787,21.7143
145.8787,23.1618
146.0787,24.9283
146.2787,26.9263
146.4787,29.0683
146.6787,31.2668
146.8787,33.4344
147.0787,35.4836
147.2787,37.3345
147.4787,38.9394
147.6787,40.2597
147.8787,41.2566
148.0787,41.8912
148.2787,42.1248
148.4787,41.9186
148.6787,41.2339
148.8787,40.0318
149.0787,38.2736
149.2787,35.9265
149.4787,33.0689
149.6787,29.8758
149.8787,26.5255
150.0787,23.1961
150.2787,20.0659
150.4787,17.3132
150.6787,15.1161
150.8787,13.653
151.0787,13.102
151.2787,13.6413
151.4787,15.3652
151.6787,18.1419
151.8787,21.802
152.0787,26.1762
152.2787,31.0949
