,Imag der fit,log freq [Hz],log eps real (raw),log freq [Hz],log eps real (fit),log freq [Hz],log eps real peak 1,log freq [Hz],polarization term,log freq [Hz],log eps imag der (raw),log freq [Hz],log eps imag (fit),log freq [Hz],log eps imag der peak 1,log freq [Hz],sigma term, ,Real fit,log freq [Hz],log eps real (fit),log freq [Hz],log eps real peak {0}.format(i+1),log freq [Hz],polarization term,log freq [Hz],log eps imag (fit),log freq [Hz],log eps imag der peak 1,log freq [Hz],sigma term
10,,4.954207764490956,4.085572403482135,4.8198883479421735,48340.990054099915,2.8411314673751127,5.192362503278344,4.8198883479421735,-2.6416108793971596,4.954207764490956,4.085572403482135,4.8198883479421735,70320.16130909829,2.8411314673751127,3.5964029073187467,4.8198883479421735,4.1826736034577,,,4.8198883479421735,19493.067162468153,2.343739341519308,5.282422204765984,4.8198883479421735,2.7414802600859463,4.8198883479421735,72287.3272913754,2.742729240509207,3.6862279799378275,4.8198883479421735,4.1826736034577
11,,4.808079246224419,4.422235168960474,4.791843575143021,51482.355806244756,2.8815355077791533,5.1923054529239465,4.791843575143021,-2.628900881494308,4.808079246224419,4.422235168960474,4.791843575143021,73284.47572313111,2.8815355077791533,3.6367498973683907,4.791843575143021,4.195383601360552,,,4.791843575143021,21843.620015311688,2.3942443920243583,5.282410566211418,4.791843575143021,2.7716937288352357,4.791843575143021,75731.7600889577,2.7831332809132476,3.7265749699874715,4.791843575143021,4.195383601360552
12,,4.66195175104504,4.669099213804006,4.763798802343869,54879.382671329455,2.9219395481831936,5.192236745518576,4.763798802343869,-2.6161908835914565,4.66195175104504,4.669099213804006,4.763798802343869,76239.6053300062,2.9219395481831936,3.6770852303670605,4.763798802343869,4.208093599263404,,,4.763798802343869,24441.559555249027,2.444749442529409,5.282395880466317,4.763798802343869,2.8019071975845247,4.763798802343869,79243.04428873834,2.823537321317288,3.7669103029861413,4.763798802343869,4.208093599263404
13,,4.515823526192277,4.847737955694409,4.735754029544717,58539.438436752054,2.962343588587234,5.192154001634478,4.735754029544717,-2.603480885688605,4.515823526192277,4.847737955694409,4.735754029544717,79160.81355245542,2.962343588587234,3.717406526887003,4.735754029544717,4.220803597166255,,,4.735754029544717,27303.240380777384,2.4952544930344596,5.282377349866435,4.735754029544717,2.832120666333814,4.735754029544717,82802.79019812804,2.863941361721328,3.8072315995060837,4.735754029544717,4.220803597166255
14,,4.369694431135181,4.975123786813664,4.707709256745565,62466.689613080256,3.0027476289912745,5.192054357258962,4.707709256745565,-2.5907708877857534,4.369694431135181,4.975123786813664,4.707709256745565,82020.89083878449,3.0027476289912745,3.7577109229155274,4.707709256745565,4.233513595069107,,,4.707709256745565,30443.70769231205,2.54575954353951,5.282353968029709,4.707709256745565,2.862334135083103,4.707709256745565,86389.16949378254,2.9043454021253687,3.847535995534608,4.707709256745565,4.233513595069107
15,,4.223568620149561,5.062401460695728,4.6796644839464125,66661.44526488813,3.0431516693953147,5.19193436560157,4.6796644839464125,-2.578060889882902,4.223568620149561,5.062401460695728,4.6796644839464125,84790.57733983648,3.0431516693953147,3.7979949716621757,4.6796644839464125,4.246223592971958,,,4.6796644839464125,33876.02758222183,2.596264594044561,5.2823244652944465,4.6796644839464125,2.8925476038323925,4.6796644839464125,89976.84438924547,2.944749442529409,3.8878200442812565,4.6796644839464125,4.246223592971958
16,,4.077440584471324,5.12690380964086,4.65161971114726,71119.54964836032,3.0835557097993553,5.1917898792272315,4.65161971114726,-2.5653508919800503,4.077440584471324,5.12690380964086,4.65161971114726,87439.16326199891,3.0835557097993553,3.8382545256918776,4.65161971114726,4.25893359087481,,,4.65161971114726,37610.54066336838,2.646769644549611,5.282287239924787,4.65161971114726,2.9227610725816815,4.65161971114726,93537.02724037456,2.9851534829334496,3.9280795983109584,4.65161971114726,4.25893359087481
17,,3.931311386021832,5.178444538438644,4.623574938348108,75831.87476371421,3.1239597502033956,5.191615908673934,4.623574938348108,-2.5526408940771987,3.931311386021832,5.178444538438644,4.623574938348108,89935.2668783413,3.1239597502033956,3.87848459554262,4.623574938348108,4.271643588777661,,,4.623574938348108,41654.06312087878,2.6972746950546616,5.282240271388832,4.623574938348108,2.952974541330971,4.623574938348108,97037.70279291275,3.02555752333749,3.9683096681617007,4.623574938348108,4.271643588777661
18,,3.7851831468583046,5.223033624338016,4.595530165548956,80783.96762396544,3.1643637906074362,5.191406453008844,4.595530165548956,-2.539930896174347,3.7851831468583046,5.223033624338016,4.595530165548956,92247.77422720418,3.1643637906074362,3.918679180281571,4.595530165548956,4.284353586680513,,,4.595530165548956,46009.07115385463,2.747779745559712,5.282181011066476,4.595530165548956,2.98318801008026,4.595530165548956,100444.04183096085,3.0659615637415305,4.008504252900652,4.595530165548956,4.284353586680513
19,,3.639054968740307,5.263619501180154,4.567485392749804,85955.90529306576,3.2047678310114764,5.191154296963791,4.567485392749804,-2.527220898271495,3.639054968740307,5.263619501180154,4.567485392749804,94346.90616734858,3.2047678310114764,3.9588310646405587,4.567485392749804,4.297063584583365,,,4.567485392749804,50672.91683523081,2.7982847960647623,5.282106244558521,4.567485392749804,3.0134014788295502,4.567485392749804,103719.02720278256,3.1063656041455707,4.0486561372596395,4.567485392749804,4.297063584583365
