Potential (V)	Current (A)	Elapsed Time (s)	Zre (ohms)	Zim (ohms)	
-0.0101210698485374	-2.52664608524356E-06	1800.0074	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0075	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0076	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0077	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0078	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0079	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.008	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0081	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0082	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0083	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0084	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0085	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0086	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0087	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0088	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0089	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.009	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0091	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0092	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0093	0	0	
-0.00981436483561993	-2.52725999416725E-06	1800.0094	0	0	
-0.00981436483561993	-2.52787299359625E-06	1800.0095	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0096	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0097	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0098	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0099	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.01	0	0	
-0.00981436483561993	-2.52725999416725E-06	1800.0101	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0102	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0103	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0104	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0105	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0106	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0107	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0108	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0109	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.011	0	0	
-0.00981436483561993	-2.52909990194894E-06	1800.0111	0	0	
-0.00981436483561993	-2.52909990194894E-06	1800.0112	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0113	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0114	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0115	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0116	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0117	0	0	
-0.00981436483561993	-2.52909990194894E-06	1800.0118	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0119	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.012	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0121	0	0	
-0.00981436483561993	-2.52971290137793E-06	1800.0122	0	0	
-0.00981436483561993	-2.52971290137793E-06	1800.0123	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0124	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0125	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0126	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0127	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0128	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0129	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.013	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0131	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0132	0	0	
-0.00981436483561993	-2.52971290137793E-06	1800.0133	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0134	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0135	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0136	0	0	
-0.00981436483561993	-2.52971290137793E-06	1800.0137	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0138	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0139	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.014	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0141	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0142	0	0	
-0.00981436483561993	-2.52909990194894E-06	1800.0143	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0144	0	0	
-0.00981436483561993	-2.52909990194894E-06	1800.0145	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0146	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0147	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0148	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0149	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.015	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0151	0	0	
-0.00981436483561993	-2.52909990194894E-06	1800.0152	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0153	0	0	
-0.00981436483561993	-2.52909990194894E-06	1800.0154	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0155	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0156	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0157	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0158	0	0	
-0.0101210698485374	-2.52909990194894E-06	1800.0159	0	0	
